,brand,model,model_target_ratings
715,诺美姿,N338,"{'功能': {'水嫩': 40.19, '补水': 37.51}, '服务': {'包装': 40.25, '包裹': 37.51, '卖家': 29.59, '客服': 32.71, '态度': 35.87}, '款式': {'时尚': 37.51, '小气泡': 40.43, '按摩器': 37.51}, '质量': {'做工': 41.79, '吸力': 13.74, '声音': 49.51, '材质': 39.99, '疗效': 0.0, '设备': 25.69, '质量': 48.79, '稳定性': 0.0}}"
716,豪仕达,OPT,
717,诺美姿,N605,"{'功能': {}, '服务': {'包装': 14.09, '卖家': 15.64, '客服': 20.57, '态度': 20.34}, '质量': {'做工': 29.28, '质量': 24.3}}"
718,诺美姿,N805,"{'服务': {'包装': 12.8, '卖家': 18.01, '客服': 22.48, '态度': 9.67}, '款式': {'小气泡': 40.43}, '质量': {'吸力': 18.04, '质量': 12.89, '重量': 58.23}}"
719,诺美姿,N818,"{'功能': {'水嫩': 18.58, '补水': 37.51, '去黑头': 25.85}, '服务': {'包装': 28.16, '卖家': 26.83, '客服': 24.23, '态度': 24.8, '说明书': 29.57}, '款式': {'小气泡': 57.28}, '质量': {'做工': 41.79, '吸力': 23.04, '声音': 49.51, '瑕疵': 37.51, '质量': 42.15, '稳定性': 0.0}}"
720,诺美姿,NB503,"{'功能': {}, '服务': {'包装': 19.36, '客服': 20.57, '态度': 19.31, '说明书': 34.96}, '质量': {'做工': 29.28, '疗效': 0.0, '质量': 32.8}}"
721,诺美姿,NY-206,"{'功能': {'脂肪粒': 30.69}, '服务': {'包装': 12.8, '态度': 13.07, '说明书': 29.57}, '质量': {'吸力': 18.04, '塑料': 0.0, '声音': 53.0, '质量': 12.89}}"
722,诺美姿,二代雷达线雕仪,
723,诺美姿,髋骨调理仪,"{'功能': {'郊果': 0.0}, '服务': {'包装': 47.37, '卖家': 28.25, '客服': 24.23, '态度': 44.48, '售后服务': 34.96, '有问必答': 47.96}, '款式': {'三档': 47.96, '体积': 28.87, '大气': 33.8}, '质量': {'做工': 47.12, '声音': 54.76, '材质': 59.03, '疗效': 0.0, '质量': 50.82, '音质': 0.0}}"
724,谜迹,4381-B,"{'功能': {'祛皱': 30.69, '紧致': 23.79, '鱼尾纹': 0.0}, '服务': {'包装': 18.42, '卖家': 18.01, '客服': 18.46, '态度': 17.08, '售后服务': 29.57}, '款式': {'白色': 32.7}, '质量': {'做工': 29.28, '质量': 12.89}}"
725,谜迹,MJ-908,"{'功能': {'眼袋': 45.4, '紧致': 19.66}, '质量': {'做工': 27.34}}"
726,谜迹,MJ5010,"{'功能': {'死皮': 0.0, '污垢': 28.52, '痘印': 28.87, '粉刺': 37.51, '去角质': 0.0, '去黑头': 32.71, '清洁度': 37.51}, '服务': {'包装': 27.54, '卖家': 15.64, '客服': 24.23, '态度': 26.36, '顺丰': 15.89, '售后服务': 16.74}, '款式': {'体积': 45.4, '大气': 33.8, '形状': 0.0, '按键': 45.4, '超声波': 33.8}, '质量': {'做工': 32.82, '刷毛': 27.53, '声音': 49.51, '质量': 22.81, '震动力': 53.06}}"
727,豪仕达,A--001,{'功能': {'雾化': 45.4}}
728,豪仕达,X006,"{'服务': {'态度': 11.47}, '质量': {'吸力': 13.74}}"
729,豪仕达,水光套盒,
730,豪仕达,光谱仪,{'服务': {'包装': 14.09}}
731,豪仕达,光谱仪美容仪,"{'功能': {'痘印': 18.58}, '服务': {'客服': 20.57}, '款式': {'红光': 43.86}}"
732,豪仕达,八合一小气泡,"{'功能': {}, '服务': {'包装': 12.8, '卖家': 26.83, '客服': 30.16, '态度': 23.98, '售后服务': 44.81}, '款式': {'小气泡': 46.1}, '质量': {'做工': 27.34, '吸力': 19.86, '质量': 22.03}}"
733,豪仕达,注氧仪,
734,豪仕达,射频钒钛,"{'功能': {'水嫩': 18.58, '白嫩嫩': 0.0}, '服务': {'包装': 12.8, '客服': 18.46}, '质量': {'质量': 12.89}}"
735,豪仕达,小气泡,"{'功能': {'水嫩': 18.58, '去黑头': 32.71}, '服务': {'包装': 14.09, '卖家': 30.87, '客服': 27.37, '态度': 28.52}, '款式': {'小气泡': 51.67}, '质量': {'吸力': 21.51, '底座': 59.73, '质量': 21.21}}"
736,豪仕达,能量油,"{'服务': {'包装': 14.09, '客服': 22.48, '态度': 20.34}, '质量': {'质量': 14.18}}"
737,豪仕达,钒钛水光,"{'功能': {'祛皱': 35.3}, '服务': {'态度': 14.52}, '质量': {'气色好': 0.0}}"
738,豪仕达,雷达线雕,"{'功能': {'祛皱': 35.3}, '服务': {'包装': 12.8, '态度': 13.07, '售后服务': 29.57}, '质量': {'做工': 27.34, '质量': 20.35}}"
739,韩美韵,小气泡008,{'服务': {'卖家': 15.64}}
740,豪仕达,雷达线雕仪,"{'功能': {'法令纹': 29.09}, '服务': {'信誉': 58.23, '态度': 14.52}, '质量': {'做工': 27.34, '质量': 15.37}}"
741,豪仕达,高压注氧仪,
742,辰昊,DRY-001,
743,辰昊,KH1025A,"{'功能': {'紧致': 23.79, '省时省力': 0.0}, '服务': {'包装': 18.42, '卖家': 23.73, '客服': 25.85, '态度': 25.59}, '款式': {'颜色': 21.31}, '质量': {'刺痛': 47.96, '底座': 59.73, '质量': 22.03}}"
744,雅白,YB802,"{'功能': {'去黑头': 37.3}, '服务': {'包装': 30.5, '包裹': 37.51, '卖家': 23.73, '态度': 29.87}, '款式': {}, '质量': {'做工': 31.1, '动力': 43.86, '吸力': 31.62, '质量': 28.88, '配件': 34.48}}"
745,雅白,YB8810A,
746,韩美韵,小气泡001,"{'功能': {'水嫩': 18.58, '水雾': 28.87, '补水': 42.07, '去黑头': 39.42, '清洁度': 37.51}, '服务': {'包装': 21.1, '卖家': 60.41, '客服': 38.37, '态度': 51.48, '售后服务': 81.78}, '款式': {'面具': 0.0, '小气泡': 84.52}, '质量': {'做工': 37.53, '动力': 43.86, '吸力': 40.05, '声音': 47.77, '质量': 45.51}}"
747,韩美韵,无针水光001,"{'功能': {'水嫩': 18.58, '补水': 32.7}, '服务': {'包装': 14.09, '卖家': 20.11, '态度': 22.24}, '款式': {}, '质量': {'做工': 31.1, '质量': 21.21}}"
748,韩美韵,线雕001,"{'功能': {'提拉': 29.57, '祛皱': 35.3, '紧致': 30.31, '法令纹': 29.09}, '服务': {'包装': 15.28, '卖家': 15.64, '客服': 18.46, '态度': 20.34}, '质量': {'做工': 27.34, '质量': 20.35}}"
749,韩美韵,髋骨仪001,"{'服务': {'包装': 14.09, '卖家': 15.64, '态度': 14.52}, '质量': {'质量': 12.89}}"
750,魔力星,1008,{'功能': {'去黑头': 27.37}}
751,黛璐莎,D-018,"{'功能': {'祛皱': 43.86, '细纹': 33.32, '抬头纹': 43.86, '法令纹': 22.73}, '服务': {'包装': 15.28, '卖家': 15.64, '态度': 11.47}, '质量': {'做工': 27.34, '功率': 31.87, '质量': 18.52, '安全性': 0.0}}"
752,joyoung/九阳, JYL-C051,"{'功能': {'出汁': 43.51, '功率': 75.27, '地盘': 31.29, '太笨': 0.0, '效率': 60.46, '机型': 35.21, '果昔': 25.53, '果汁': 91.19, '果肉': 33.25, '果蔬': 62.28, '榨汁': 88.6, '橘子': 16.22, '橙汁': 49.06, '水果': 80.3, '渣渣': 43.49, '百分': 22.81, '纤维': 51.53, '苹果': 55.09, '蔬菜': 45.82, '豆浆': 68.35, '转速': 80.77, '辅食': 69.04, '食物': 47.18, '香蕉': 48.94, '发动机': 0.0, '小米粥': 38.28, '很给力': 68.72, '果汁机': 64.4, '柠檬水': 0.0, '榨汁机': 88.97, '水果汁': 42.85, '番茄汁': 34.14, '维生素': 26.25, '胡萝卜': 63.09, '芒果汁': 40.69, '苹果汁': 72.92, '苹果皮': 0.0, '草莓汁': 37.13, '菠萝汁': 18.19, '蔬菜汁': 71.14, '西瓜汁': 63.61, '过滤器': 0.0, '过滤网': 58.0, '速度快': 73.89, '黄瓜汁': 44.4, '一段时间': 63.59, '胡萝卜汁': 28.81}, '服务': {'买家': 73.71, '五星': 47.92, '亲们': 43.92, '包装': 92.64, '卖家': 83.26, '发票': 38.14, '口碑': 53.0, '好评': 84.13, '姗姗': 0.0, '实体': 0.0, '客户': 50.12, '客服': 85.6, '差评': 0.0, '店家': 81.04, '态度': 91.11, '果泥': 70.95, '淘宝': 37.29, '盒子': 0.0, '箱子': 0.0, '芊芊': 26.86, '赠品': 53.55, '信誉度': 0.0, '外包装': 48.38, '实体店': 74.56, '说明书': 69.84, '负责任': 35.9, '售后服务': 29.2, '处理方式': 0.0, '服务态度': 89.54}, '款式': {'体积': 34.22, '塑料': 68.26, '外形': 76.61, '够大': 38.7, '大小': 83.67, '形状': 27.55, '手感': 62.16, '机身': 44.52, '样式': 66.71, '款式': 68.29, '面料': 10.05, '颜值': 42.45, '颜色': 91.24, '容量大': 57.1, '很漂亮': 81.67, '外观设计': 48.84, '美观大方': 42.99}, '质量': {'刀头': 55.28, '厨房': 49.85, '台面': 0.0, '吸盘': 68.89, '商品': 83.14, '嗓音': 34.01, '噪声': 70.81, '噪音': 94.21, '坏掉': 20.21, '声音': 97.53, '外壳': 34.54, '实物': 70.03, '底座': 45.93, '开关': 46.15, '很紧': 12.51, '性能': 73.6, '挺好': 92.82, '挺棒': 29.44, '杂音': 41.88, '杯盖': 54.11, '气味': 29.73, '水位': 12.28, '海绵': 22.87, '焦味': 0.0, '物美': 64.92, '用料': 37.73, '盖子': 0.0, '粗细': 51.82, '糊味': 0.0, '质量': 97.45, '零件': 43.18, '黄豆': 24.22, '合格证': 10.6, '塑料味': 0.0, '塑料杯': 63.26, '实用性': 58.51, '稳定性': 41.82, '试一下': 47.07}}"
753,braun/博朗, MQ5035,{'服务': {'赠品': 49.74}}
754,hattiecs/海蒂诗,RBM-775,
755,家必康,2160,
756,隆粤,B717,
757,bear/小熊,QSJ-B02U2,"{'功能': {'蒜': 35.24, '丸子': 13.56, '刀锋': 48.11, '功率': 46.55, '南瓜': 67.92, '土豆': 68.58, '垫圈': 27.59, '大米': 38.57, '小米': 61.26, '手压': 0.0, '搅碎': 35.27, '效率': 34.7, '木瓜': 27.89, '构造': 30.99, '果汁': 79.91, '果肉': 62.41, '梨汁': 60.1, '榨汁': 82.01, '橙汁': 42.95, '水果': 83.84, '熟食': 11.96, '燕麦': 5.92, '牛肉': 70.64, '猪肉': 0.0, '生肉': 19.89, '生食': 0.0, '瘦肉': 13.64, '碎肉': 59.28, '稀饭': 59.41, '米粉': 41.87, '米粒': 63.11, '米粥': 38.04, '米糊': 86.57, '糊状': 55.45, '紫薯': 51.87, '红薯': 42.33, '纤维': 38.4, '绞肉': 88.8, '肉末': 52.08, '肉松': 63.49, '肉粥': 0.0, '肉酱': 22.74, '肉馅': 76.5, '芋头': 0.0, '苹果': 79.25, '菜叶': 0.0, '菜泥': 35.77, '菠萝': 19.96, '萝卜': 6.76, '葡萄': 11.96, '蒜末': 10.24, '蔬菜': 63.95, '虾皮': 64.96, '订单': 0.0, '转数': 26.3, '转速': 71.63, '辅食': 91.91, '食材': 29.13, '食物': 89.52, '香肠': 12.18, '香蕉': 60.58, '鱼肉': 47.67, '功能性': 41.55, '土豆泥': 75.71, '很给力': 67.19, '打蛋器': 46.41, '榨汁机': 78.52, '水果汁': 67.5, '猕猴桃': 11.52, '玉米渣': 0.0, '番茄汁': 31.63, '研磨机': 30.06, '红萝卜': 43.49, '绞肉机': 70.71, '胡萝卜': 76.11, '芒果汁': 34.18, '苹果汁': 39.62, '苹果泥': 91.59, '蓝莓汁': 0.0, '蔬菜泥': 77.18, '西瓜汁': 38.54, '速度快': 74.49, '饺子馅': 35.95, '香蕉泥': 59.96, '一段时间': 24.32, '木瓜牛奶': 6.37, '蔬菜水果': 13.49, '间隔时间': 11.96}, '服务': {'买家': 46.7, '五星': 44.63, '亲们': 68.69, '包装': 100.0, '包裹': 40.55, '包邮': 5.93, '卖家': 91.66, '口碑': 39.59, '好评': 82.75, '客服': 92.89, '店家': 87.4, '店铺': 61.69, '态度': 96.71, '果泥': 93.8, '理念': 0.0, '盒子': 0.0, '票据': 8.65, '箱子': 0.0, '米兰': 13.06, '米雪': 32.96, '联保': 6.16, '薇薇': 0.0, '赠品': 29.04, '包得很': 48.77, '唐老鸭': 0.0, '外包装': 46.28, '实体店': 38.18, '店主人': 38.35, '说明书': 41.6, '产品包装': 32.29, '售后服务': 75.45, '有问必答': 69.57, '服务态度': 96.97, '非常感谢': 10.9}, '款式': {'体型': 24.91, '体积': 39.06, '分量': 70.33, '塑料': 76.41, '外型': 79.02, '外形': 95.85, '外表': 70.58, '大小': 94.6, '手感': 73.7, '按键': 52.36, '机身': 74.51, '样式': 81.6, '款式': 83.39, '硅胶': 0.0, '神器': 62.85, '粉色': 77.88, '颜值': 100.0, '颜色': 100.0, '黄色': 35.33, '体积小': 49.03, '容量大': 38.48, '很漂亮': 90.87, '粉红色': 31.16, '产品设计': 59.52, '外观设计': 64.63}, '质量': {'刀头': 84.99, '刀子': 71.14, '商品': 69.52, '嗓音': 61.73, '噪声': 50.39, '噪音': 90.82, '嚼碎': 0.0, '声音': 29.16, '宝物': 0.0, '实力': 31.2, '实物': 91.06, '小块': 21.63, '开关': 71.43, '成品': 39.02, '挺厚': 0.0, '挺好': 96.5, '摔碎': 0.0, '毛刺': 18.22, '液体': 22.87, '牛逼': 9.44, '物件': 36.86, '物美': 61.18, '环保': 70.82, '玻璃': 95.55, '用料': 49.51, '电线': 53.29, '盖子': 0.0, '细点': 15.22, '质量': 100.0, '间隙': 14.76, '发热量': 23.22, '塑料味': 0.0, '好评率': 0.0, '安全很': 0.0, '安全性': 39.67, '实用性': 81.56, '密封圈': 0.0, '期待值': 0.0, '玻璃碗': 54.82, '粉碎性': 10.72, '耐高温': 10.72, '试一下': 36.86, '退换货': 0.0, '防滑垫': 22.87, '使用寿命': 46.79, '换来换去': 0.0, '注意安全': 0.0, '玻璃器皿': 0.0}}"
758,jeff/杰孚,FX-A5,{'服务': {'服务态度': 49.6}}
759,韩伟,M730,
760,joyoung/九阳, JYL-Y6,{'质量': {'质量': 61.14}}
761,德能,BL-13A,{'质量': {'挺好': 60.58}}
762,bear/小熊,JBQ-A05D2,"{'功能': {'一块': 19.31, '功率': 82.47, '南瓜': 35.17, '土豆': 28.61, '手法': 22.67, '打蛋': 53.52, '搅碎': 54.77, '效率': 64.55, '构造': 22.66, '果子': 7.13, '果汁': 87.58, '果肉': 29.74, '核桃': 51.25, '梨汁': 34.41, '棒子': 0.0, '榨汁': 75.18, '橙汁': 37.33, '水果': 74.33, '渣渣': 45.06, '猪肉': 0.0, '用途': 77.09, '碎肉': 55.38, '稀饭': 5.58, '程序': 4.95, '米粉': 38.7, '米糊': 75.96, '粉末': 56.63, '糊状': 12.61, '糖粉': 20.63, '紫米': 12.25, '纤维': 24.82, '绞碎': 8.92, '绞肉': 93.53, '肉丸': 8.92, '肉末': 30.17, '肉松': 70.55, '肉酱': 10.24, '肉馅': 79.8, '芝麻': 50.87, '花生': 29.22, '苹果': 31.76, '草莓': 36.81, '菜泥': 55.59, '蓝莓': 11.13, '蔬果': 5.47, '虾丸': 10.24, '虾皮': 8.46, '蛋挞': 0.0, '蛋清': 16.14, '西瓜': 31.65, '设备': 25.95, '豆浆': 35.67, '转速': 76.95, '辅食': 80.0, '食材': 38.55, '食物': 35.73, '香蕉': 42.77, '鸡肉': 0.0, '鸡蛋': 17.81, '内包装': 13.56, '功能性': 37.52, '发动机': 0.0, '土豆泥': 61.78, '大米粥': 0.0, '很给力': 65.63, '打蛋器': 17.54, '打鸡蛋': 29.44, '果汁机': 61.17, '榨汁机': 45.18, '橘子汁': 6.44, '牛肉馅': 22.59, '猕猴桃': 4.85, '番茄汁': 24.71, '绞肉机': 73.01, '肉丸子': 7.05, '胡萝卜': 57.67, '芒果汁': 29.68, '苹果汁': 32.08, '苹果泥': 78.66, '蔓越莓': 0.0, '蔬菜汁': 30.32, '蔬菜泥': 63.29, '西兰花': 13.42, '西瓜汁': 71.76, '速度快': 37.34, '饺子馅': 31.41, '黄瓜汁': 27.35, '黑芝麻': 13.46, '基本功能': 22.59, '工作效率': 6.9, '省时省力': 33.99}, '服务': {'买家': 41.78, '信用': 17.01, '包装': 97.76, '包裹': 74.11, '卖家': 84.69, '发票': 31.43, '口碑': 32.81, '好评': 88.62, '客户': 37.27, '客服': 91.59, '小浩': 0.0, '差评': 0.0, '店主': 65.59, '店家': 75.75, '态度': 91.72, '果泥': 82.94, '盒子': 0.0, '箱子': 0.0, '纸箱': 0.0, '赠品': 68.36, '保修卡': 31.68, '包装盒': 0.0, '包装箱': 36.15, '外包装': 45.84, '讲信用': 0.0, '说明书': 46.41, '负责任': 10.9, '产品包装': 56.14, '售后服务': 72.54, '服务态度': 94.31, '热情周到': 6.18}, '款式': {'体积': 30.48, '分量': 43.94, '印象': 18.11, '塑料': 49.32, '外形': 33.06, '大小': 70.32, '手感': 85.75, '按键': 50.27, '样式': 30.55, '款式': 74.38, '白色': 33.78, '神器': 70.51, '长相': 11.71, '颜值': 90.42, '颜色': 71.36, '很漂亮': 37.35, '产品设计': 32.71, '外观设计': 30.39}, '质量': {'假货': 0.0, '刀头': 72.02, '刀子': 32.79, '利器': 10.6, '原料': 0.0, '厨房': 24.96, '商品': 80.59, '噪音': 80.38, '声音': 88.55, '实物': 74.91, '寿命': 39.68, '工艺': 43.81, '开关': 40.45, '性能': 77.73, '把手': 0.0, '挺好': 90.81, '损失': 0.0, '杂音': 34.93, '毛刺': 8.22, '水量': 0.0, '物件': 34.19, '玻璃': 73.18, '瑕疵': 21.4, '盖子': 0.0, '缝隙': 59.71, '螺丝': 0.0, '触感': 10.6, '质量': 96.74, '零件': 14.41, '不锈钢': 39.83, '发热量': 10.72, '塑料杯': 40.25, '实用性': 50.14, '替代品': 0.0, '朋友们': 37.95, '淡奶油': 0.0, '粉碎性': 35.72, '试一下': 32.49, '退换货': 0.0, '颗粒状': 16.4, '马达很': 7.54, '身体健康': 0.0}}"
763,joyoung/九阳, JYL-Y92,
764,joyoung/九阳, L3-C1,
765,bear/小熊,QSJ-B02X5,"{'功能': {'冰糖': 24.26, '刀柱': 0.0, '切肉': 43.34, '功率': 47.11, '南瓜': 64.49, '双刀': 43.59, '图案': 17.81, '土豆': 31.63, '大米': 41.37, '小米': 64.76, '山药': 47.74, '搅碎': 58.73, '效率': 50.28, '果汁': 78.71, '果蔬': 25.53, '核桃': 52.61, '榨汁': 62.26, '橙汁': 44.1, '水果': 79.72, '猪肉': 0.0, '玉米': 6.22, '生熟': 26.39, '生肉': 31.0, '用途': 51.89, '瘦肉': 52.09, '米粉': 43.24, '米粒': 55.97, '米糊': 83.4, '糊状': 62.59, '紫米': 26.54, '紫薯': 59.56, '绞肉': 90.78, '肉末': 62.24, '肉松': 59.04, '肉肉': 63.01, '肉馅': 70.36, '芒果': 37.12, '苹果': 74.57, '莲藕': 0.0, '菜叶': 0.0, '菜泥': 66.11, '萝卜': 24.94, '蔬菜': 65.34, '豆沙': 21.18, '转数': 29.95, '转速': 63.61, '辅食': 87.74, '食材': 62.02, '食物': 83.45, '饭菜': 12.1, '饺子': 32.7, '香肠': 26.47, '香蕉': 30.01, '鸡肉': 0.0, '土豆泥': 70.34, '地瓜粥': 11.96, '小米粥': 4.93, '很给力': 35.51, '果蔬汁': 27.14, '榨汁机': 51.42, '水果汁': 61.57, '玉米糊': 5.32, '研磨机': 34.09, '粉碎机': 31.28, '红萝卜': 52.58, '红豆沙': 28.26, '绞肉机': 51.02, '肉丸子': 16.14, '胡萝卜': 70.94, '芝麻酱': 6.44, '苹果汁': 41.0, '苹果泥': 86.72, '蔬菜汁': 38.35, '蔬菜泥': 67.8, '西兰花': 59.56, '西瓜汁': 40.06, '西红柿': 64.04, '速度快': 65.67, '饺子馅': 37.73, '香蕉泥': 71.77, '一段时间': 57.09, '省时省力': 60.82, '蔬菜水果': 5.8}, '服务': {'亲们': 62.85, '信用': 24.79, '包装': 98.24, '卖家': 88.27, '口碑': 41.86, '好评': 71.68, '客服': 90.85, '店家': 70.28, '店铺': 63.29, '态度': 92.75, '果泥': 86.82, '淘宝': 43.93, '箱子': 0.0, '米兰': 27.35, '米雪': 44.07, '纸箱': 0.0, '包装盒': 0.0, '包装箱': 21.95, '外包装': 52.87, '产品包装': 43.54, '售后服务': 73.49, '有问必答': 70.48, '服务态度': 95.08, '热情周到': 19.52, '积极响应': 0.0}, '款式': {'个子': 56.68, '体积': 70.46, '分量': 34.48, '塑料': 55.41, '外型': 40.54, '外形': 85.55, '外表': 36.34, '大小': 92.84, '手感': 83.13, '机身': 75.36, '样式': 76.64, '款式': 65.67, '神器': 38.6, '粉色': 34.23, '色差': 24.96, '颜值': 98.53, '颜色': 97.29, '黄色': 22.83, '黑色': 32.92, '很漂亮': 88.58, '淡绿色': 26.13, '外观设计': 69.3}, '质量': {'刀头': 88.24, '刀子': 67.61, '原理': 7.54, '商品': 70.03, '噪声': 58.49, '噪音': 86.88, '声音': 31.63, '宝物': 0.0, '实物': 89.28, '寿命': 41.48, '工程': 0.0, '很沉': 60.56, '性能': 36.65, '把手': 0.0, '挺好': 91.95, '气味': 42.53, '烂烂': 35.37, '环保': 58.35, '玻璃': 92.55, '用料': 74.07, '盖子': 0.0, '碎成': 0.0, '粗细': 42.24, '肚子': 25.6, '语法': 6.89, '质量': 98.27, '顾虑': 12.28, '黏性': 0.0, '不锈钢': 49.49, '安全性': 41.52, '实用性': 76.09, '密封条': 0.0, '寿命长': 9.33, '汽油味': 0.0, '玻璃碗': 64.4, '玻璃缸': 12.28, '耐用性': 0.0, '耐高温': 35.72, '颗粒状': 34.58, '使用寿命': 48.41, '大赞大赞': 0.0, '玻璃器皿': 0.0}}"
766,kaiso/凯索,8800,{'功能': {'功率': 30.49}}
767,blendtec,DESIGNER 625,"{'服务': {'赠品': 46.89}, '质量': {'声音': 58.6}}"
768,aca/北美电器,AF-OR01,"{'功能': {'功率': 63.37, '果汁': 77.75, '果肉': 40.74, '榨汁': 77.21, '水果': 41.17, '渣渣': 35.55, '燕窝': 0.0, '米糊': 30.94, '苹果': 42.24, '豆浆': 40.5, '香蕉': 40.81, '果汁机': 71.14, '榨汁机': 81.42, '水果汁': 33.48, '芒果汁': 26.07, '过滤网': 42.08, '制作方法': 7.96}, '服务': {'信誉': 44.31, '包装': 83.62, '客服': 67.79, '态度': 66.63, '果泥': 59.91, '外包装': 50.81, '服务态度': 68.54}, '款式': {'塑料': 34.72, '外形': 67.7, '大小': 69.81, '机身': 55.35, '款式': 32.5, '紫色': 36.09, '颜值': 35.03, '颜色': 78.87}, '质量': {'刀头': 71.54, '商品': 38.25, '噪音': 72.92, '声音': 76.02, '实物': 38.12, '开关': 38.67, '性能': 29.26, '挺好': 80.23, '挺棒': 14.06, '浮沫': 12.28, '环保': 38.66, '箭头': 0.0, '质量': 84.52}}"
769,bosch/博世,MFZ4050,
770,clara,MST-PBJ-V30,"{'服务': {'卖家': 44.37}, '质量': {'声音': 70.07}}"
771,kambrook,搅拌机,{'功能': {'榨汁机': 59.68}}
772,climax/客来美,HA-3093,
773,minimei,HMM-203,{'服务': {'包装': 33.9}}
774,amoi/夏新,TL-GB990,
775,kenwood/建伍,CH580,
776,kenwood/建伍,HDP306WH,
777,kenwood/建伍,HDP404WH,
778,aunt mary/玛莉阿姨,HL-1898,
779,kenwood/建伍,KM336,
780,kenwood/建伍,SMP060,
781,kitchenaid,5QT 原装盆,
